"category","action","sourcePath","destinationPath","mappingRule","reviewReason","size","sha256","remoteExists","remoteSize","remoteEtag","remoteContentType","databaseReferenced"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/amazed/amazed_1.png","adjectives/amazed/amazed_1.png","flatten_to_lemma","","3114954","e6290e39217ca71571e9aa31b291580caf25eedd61de22d70b14459b8819bb30","true","3114954","f26fc3a7eddef0c80b673dbdfa536825","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/amazed/amazed_2.png","adjectives/amazed/amazed_2.png","flatten_to_lemma","","3079729","1eee3b2457ba90d2a3171ece7bc5e54c61dcbacffdc6876ab93a3eb4b46c922d","true","3079729","58cd138b3f5232d84802b14792c0a5ef","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/adverbs/angrily/angrily.png","adjectives/angrily/angrily.png","flatten_to_lemma","","489402","0224d24b75f4ba991633b8cc75de55e5249d0300b428d580e1b03fe6954bc904","true","489402","df4e485ba50c61a3b50b5d12a7f97a49","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/angry/angry_1.png","adjectives/angry/angry_1.png","flatten_to_lemma","","1887084","4da7c0566247da7d1858d461ac329121efd5906c6a0923282fa986ebdc416d67","true","1887084","3a4b41a3f764f6afef91adce3ec10a81","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/angry/angry_2.png","adjectives/angry/angry_2.png","flatten_to_lemma","","2067499","ce3e71ef7795a615bba6e745d46784c7bf851234011b9938cfd5be98a75c0f5c","true","2067499","041159bebe6b6c56be42f77e4cd6e0e9","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/annoyed/annoyed_1.png","adjectives/annoyed/annoyed_1.png","flatten_to_lemma","","2937061","ef9fdd04b8d1e025151b390605ab7d96f33bbb34fbc27f34da7482efb7648a0c","true","2937061","ab4e9bde074bfc57b58bc492cbfe1383","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/annoyed/annoyed_2.png","adjectives/annoyed/annoyed_2.png","flatten_to_lemma","","3314774","7bc8b72d568b0c2ced6b84460fcc9887d5e2a4a9d4b7ac449ed76170f13628a3","true","3314774","e45691b774b57403d181d90aa5f8fa9f","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/bad/bad_1.png","adjectives/bad/bad_1.png","flatten_to_lemma","","937358","80ecdf1b1e79cc13deccb24efebf256535027912eeba76754fffbf5315346607","true","937358","aef9688eab94e990bc5e74eff1612c36","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/bad/bad_2.png","adjectives/bad/bad_2.png","flatten_to_lemma","","786715","e2fecd4463df6ec1502d39384a9391ce4ed147129c2e6a77bb7d302190c12bc5","true","786715","57f1bdc597a4551c0f3a88d1e08c5b02","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/adverbs/badly/badly.png","adjectives/badly/badly.png","flatten_to_lemma","","492205","9e9b88d0969f2aaa19a35343231f7524b69a171d4c8dc74d3df86da77567f614","true","492205","299d6bb495d1ff7f8a7a5ef54170e5bd","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/bald/bald_1.png","adjectives/bald/bald_1.png","flatten_to_lemma","","2576165","bd85e0c5c5d968405dcc8db155c388acbc04fceaaf1c45cbbb438c67732b8bda","true","2576165","e878e4ddb3a9b3e454721e25fd47c7ec","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/bald/bald_2.png","adjectives/bald/bald_2.png","flatten_to_lemma","","2538690","ca3ea6c86224b18b7568d67e9e9cc6a4579a20f326b5519e096c1dea8cf58627","true","2538690","290ff569565a8c8317dc121307f015d2","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/beautiful/beautiful_1.png","adjectives/beautiful/beautiful_1.png","flatten_to_lemma","","1726628","af488403f9e6a3154972b02d32f976562c59c75c5824a4e132177659cc43da60","true","1726628","1668a9d0800decd0bd8596841e196bb4","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/beautiful/beautiful_2.png","adjectives/beautiful/beautiful_2.png","flatten_to_lemma","","2713088","d5944bfb384322a9c7766c112a7e2e79da460300af0b1936ce623dad95b48aca","true","2713088","2dafa3a93b69d5d433e2f6f5f78aeefd","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/adverbs/beautifully/beautifully.png","adjectives/beautifully/beautifully.png","flatten_to_lemma","","508187","a466860cdd6b5d4f8a642d1a425b538ae64f89e11ee9c8f4c5ecc4e222946d61","true","508187","17ddb4c6931e4e36a5eba0e4e1786b8d","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/bent/bent_1.png","adjectives/bent/bent_1.png","flatten_to_lemma","","3346973","fdd281767bd052082345faa4c2a8e488d5671279efa61ecbb82d2efacb4f0170","true","3346973","3aedeef70a786f364bfc08d037e4008e","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/bent/bent_2.png","adjectives/bent/bent_2.png","flatten_to_lemma","","1509098","1b3e3388a80a4c13638ed8bf14f56cceecfc7e5b0756017cd7162fea0fc9ad40","true","1509098","345941fb9e979c5224c7ce0c52d8aeac","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/superlatives/best/best.png","adjectives/best/best.png","flatten_to_lemma","","524164","bbe51764388afa06965697936cf1fbb3b7be4a5beb51309c949db14dda636472","true","524164","1e6a3b0823f3cb7373930ad7f7bbefa6","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/comparatives/better/better.png","adjectives/better/better.png","flatten_to_lemma","","784153","6b75b62170838e769d80364ed989ffcac6176ab0e31b47d4c4604e6f6310a1ac","true","784153","efc2074bf051bc29bcdc48fd62338675","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/big/big_1.png","adjectives/big/big_1.png","flatten_to_lemma","","768613","269becd4805264bb5e0db1eef364ac1e9b517b8c7ada63911084c323226633c6","true","768613","2b628f5e06b9b3b2bc122e6d61169703","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/big/big_2.png","adjectives/big/big_2.png","flatten_to_lemma","","1019557","a901cb64bfa54962cc12bdea003d80208702bd5e2e730f32612d643b94927ebd","true","1019557","d737abf6154637b9ec167f82451f562c","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/comparatives/bigger/bigger.png","adjectives/bigger/bigger.png","flatten_to_lemma","","923797","3a18806210d37d9e8a4b1397d078283d8523fcf113e74fabd4df00963faff7f3","true","923797","e3ca8611279730774ca71777e0b817b8","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/superlatives/biggest/biggest.png","adjectives/biggest/biggest.png","flatten_to_lemma","","633208","1ebdcb21950ee621649569ddcd77a755f42f7846517ffe6967de4b3532967979","true","633208","52f4c208180fe1d7ce95184e91ca30fb","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/bitter/bitter_1.png","adjectives/bitter/bitter_1.png","flatten_to_lemma","","1150488","7d1636996b81d4f5a2a31f6a8f9c25b91ec03a925374f8a922b901777c4febee","true","1150488","d148c4061380572a0189ccb8fe3e877d","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/bitter/bitter_2.png","adjectives/bitter/bitter_2.png","flatten_to_lemma","","514710","2229127ddecfc276ed878577f00ca83cd6766e166a6ac96b0ac4be8219718914","true","514710","933c8749a668aa5a6bca9449b2e4e202","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/black/black_1.png","adjectives/black/black_1.png","flatten_to_lemma","","1432502","7f1952348c8e6b67bb21cbf3543bca90b46a68c80b65e0d3165b95bc615b52b6","true","1432502","0dfb713819a9c25aa301444a59eba997","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/black/black_2.png","adjectives/black/black_2.png","flatten_to_lemma","","1177054","ba28a7440bbf97f28c3a4968036c686b50d4c97fefa674bf9017f4511b24276f","true","1177054","a2f9080b099c36fbee03ba3b1695e65c","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/blue/blue_1.png","adjectives/blue/blue_1.png","flatten_to_lemma","","1491270","b74f73e398979a4bb77430316721a2636e89a1522a8f7b7db62df7ddf88251de","true","1491270","bddb611b45a38c6549e7611614461c8f","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/blue/blue_2.png","adjectives/blue/blue_2.png","flatten_to_lemma","","1696862","f9033c86e6bcf8f767a1cf632e0ee4edf9c59ccd697c84da1f8a19983b21d9b4","true","1696862","340f9bf3b8e4316620b8fe63efd5658e","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/bored/bored_1.png","adjectives/bored/bored_1.png","flatten_to_lemma","","2898464","dd223fc2788998f7a28504674a01bcf55d72218cab07099286583e79a29d4c9f","true","2898464","29685369befa6ccdecae30d2923df89e","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/bored/bored_2.png","adjectives/bored/bored_2.png","flatten_to_lemma","","3411827","c42f43ac83f9dfc76c481140f177c273db6cf1c94e1f7d87150d1e726a874ba2","true","3411827","c27e15c0161cd5523eeb787a81a87b90","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/brave/brave_1.png","adjectives/brave/brave_1.png","flatten_to_lemma","","2930227","80c2865baf2bec734104fe1f2c21a8cb75e1cbdcc3d446c2ab5f50f4d61458db","true","2930227","82231f1bf5417175c43359af7185489a","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/brave/brave_2.png","adjectives/brave/brave_2.png","flatten_to_lemma","","2933346","612556d602f3b474a133957d1f26fac888218bd6380dae71dddac45c0f048e80","true","2933346","13067aea1bd5310a341aeb8f4d0c3caa","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/adverbs/bravely/bravely.png","adjectives/bravely/bravely.png","flatten_to_lemma","","658662","500b80e67cc464c0bb5622622d0484921225072b744b618d1eba1dab3bf6e89a","true","658662","6074e0c4418722110b6d80b454533f53","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/bright/bright_1.png","adjectives/bright/bright_1.png","flatten_to_lemma","","975690","89e974ac022e2bbf97848e95ba184c778cff1cbc5bc36d7aca9b7053e555561f","true","975690","fd183a0d7d8b42e0e3afc5f6d1a86462","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/bright/bright_2.png","adjectives/bright/bright_2.png","flatten_to_lemma","","2962051","2dadaa2e5b9139cc85bbb069ad65206697bdafb660b55bda7d01898a233ab123","true","2962051","aa9ad763a32612d69bff576a250cec1d","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/adverbs/brightly/brightly.png","adjectives/brightly/brightly.png","flatten_to_lemma","","888270","bdf36f651f75841374371800f81a7fb2dd9ab0e63dbeca75a0cec21690efc846","true","888270","029eec8bd8de5b19f6fc7b6b78d2f8a9","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/broken/broken_1.png","adjectives/broken/broken_1.png","flatten_to_lemma","","2138987","21e58cc2f05eeb2fcc9a260454f1ae6cde6e0be636ca969202892b4caefb4579","true","2138987","705df8f04468793acb159c65de883934","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/broken/broken_2.png","adjectives/broken/broken_2.png","flatten_to_lemma","","2783625","3841b68f26c9c35d763321a9bf0765cbaf7f4310f24853ebfaa30c26bfede534","true","2783625","5accb3e651ecb4ba07bde9f9bab07483","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/brown/brown_1.png","adjectives/brown/brown_1.png","flatten_to_lemma","","1495769","cdcb47e01c0698cb016f5d9d3e067a81bcbec6a2e199b090a76455f56f200773","true","1495769","6766d9105d021717b8d9f0eaeb5e8cf4","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/brown/brown_2.png","adjectives/brown/brown_2.png","flatten_to_lemma","","2659355","92240d54735c25e613160bed0c17771ee9203b37933109efa28cf454a7441486","true","2659355","8e45ce96fbfbfc1e847832ac91580906","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/busy/busy_1.png","adjectives/busy/busy_1.png","flatten_to_lemma","","2713122","c5cdb6c2db06948d2a0eb509dd0e800e8a3d7f531fb5f51c8558feed7ac665b3","true","2713122","480d57ed3e9de762484ca5f8c28e535e","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/busy/busy_2.png","adjectives/busy/busy_2.png","flatten_to_lemma","","3521854","ec1df36083d70bd6d06e3bc15238a48b5fae10203e175e50bdeb8c90807aeabb","true","3521854","ff17b17f1100aed058e3d8b87fb3383a","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/calm/calm_1.png","adjectives/calm/calm_1.png","flatten_to_lemma","","2280558","e2a1ab394515317d386e14ac62406001b7085ca3bb3b149f19326542e7671930","true","2280558","2b2f66bcf2f6aebb28c1f69272706b16","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/calm/calm_2.png","adjectives/calm/calm_2.png","flatten_to_lemma","","2689248","124b8a605546281c1bf659e34db9a1bfb8cc527ce091e21628cd699d02c07b1b","true","2689248","7773a2a2671f98d38d62b628f38feb11","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/adverbs/calmly/calmly.png","adjectives/calmly/calmly.png","flatten_to_lemma","","664063","9c4ccd3b3e006be17a48e4aaa370a2aa516b1abb17c11aa0f5b9fc139226bf93","true","664063","5aff370d722a845bef7839a600da6daa","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/careful/careful_1.png","adjectives/careful/careful_1.png","flatten_to_lemma","","1984122","f2eafd88ef60ed9bbc41e0cde996c2fe0e50c4e2cd88ab9c05bd63bd854d72d3","true","1984122","2d1151a7d1fab6f6623ece36ba92da42","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/careful/careful_2.png","adjectives/careful/careful_2.png","flatten_to_lemma","","3004151","a25e2ae36043f0ea3d606f45e2ee56a6d93ac549b4ee611babd103f69c3d559d","true","3004151","b24da003b833752bd198b1e1c332ef7c","image/png","false"
"adjectives","skip_verified","/Users/Sean/Desktop/adjectives/adverbs/carefully/carefully.png","adjectives/carefully/carefully.png","flatten_to_lemma","","442554","b6d29460a35c7d015536e56d497eba9a4967fab20816ee69ba0b8afe2b489ac9","true","442554","714772d47a982be24b9303217377a5a7","image/png","false"
